"H3_c12","H3K18ac_c12","H3K27ac_c12","H3K27me3_c12","H3K36me3_c12","H3K4me1_c12","H3K4me3_c12","H3K9ac_c12","H4K5ac_c12","H4K8ac_c12","input_c12","input_c14a","input_c14c","input_c8","wt_H3","wt_H3K18ac","wt_H3K4me1","wt_ZLD","bcd1","cad1","D1","da2","dl3","ftz3","gt2","h1","hb1","hkb1","kni1","kr1","mad2","med2","prdBQ","prdFQ","run1","shn2","slp1","sna1","tll1","twi1","z2"
12,21,34,33,20,19,42,23,18,10,25,22,28,10,35.2,90.576,104.04,88.04,0,1.89905,1.81281,2.99499,2.29608,0,1.76078,0,1.34,0,0,0.981744,0,1.32823,1.09776,1.03452,0,0,0,0,0,1.74425,0
12,39,24,33,12,19,47,14,17,10,28,28,20,11,26.6,102.786,92.106,282.348,0,2.77167,2.8048,4.01475,4.34033,0,2.25914,1.47774,1.70175,0,0,1.879,0,2.38604,1.50743,1.5893,1.45467,0,0,0,0,2.51506,1.7991
5,4,5,8,32,5,44,15,10,10,19,24,20,8,26.1,44.4,65.892,45.26,0,1.7324,2.3183,1.45559,3.63968,0,0,0,1.20324,0,0,0,0,2.60017,1.20873,1.13331,0,0,0,0,0,1.30934,1.55225
9,38,49,44,2,28,42,9,15,20,15,25,18,11,23.65,42.18,118.116,69.44,1.19042,1.96273,2.11685,2.79507,1.68726,0,2.07424,0,1.65201,1.70032,0,1.58468,0,2.10627,1.21073,1.17949,1.27091,0,0,1.324,1.88475,1.56227,0
22,26,31,23,18,18,80,13,20,20,24,21,20,10,42.3,119.88,82.62,486.7,1.16326,1.62088,1.84239,2.31224,1.82731,0,1.80051,0,2.71813,1.56517,0,1.63475,0,2.60578,1.22193,1.31579,1.58668,0,0,0,0,1.70618,1.22537
18,26,44,23,50,16,54,22,16,15,22,32,26,20,37.7,119.88,82.62,64.48,0,0,1.78865,1.97519,1.82731,0,0,0,1.27314,1.43901,0,1.46457,0,1.83091,1.25374,1.31579,0,0,0,0,0,1.24303,1.44187
13,15,29,39,12,27,44,23,25,11,24,22,22,11,36.85,132.09,39.78,62.62,0,0,1.31974,0,0,0,0,0,0,0,0,0,0,1.23317,0,0,0,0,0,0,0,0,0
19,13,18,25,9,19,49,16,14,7,15,24,33,10,44.9,22.2,59.16,93.62,0,0,1.70229,0,1.3935,0,0,0,0,0,0,1.36882,0,1.41759,0,0,0,0,0,0,0,1.20032,0
19,21,14,25,46,14,23,10,17,7,21,20,24,9,29.85,75.48,75.48,59.52,0,0,0,0,0,0,0,0,0,0,0,1.27718,0,0,0,0,0,0,0,0,0,0,0
3,15,51,7,0,9,28,5,9,9,15,22,17,9,8.3,15.54,21.42,16.12,0,0,1.56213,1.12577,1.57493,0,0,0,0,0,0,0,1.14263,1.88281,1.25626,0,1.27548,0,0,0,0,1.0036,1.37598
21,14,31,8,6,18,52,7,9,10,20,24,18,7,20.4,54.39,86.7,800.792,1.21181,2.02986,1.7691,2.05422,2.72518,0,0,1.82067,0,1.556,0,1.26581,1.38717,1.76256,0,1.15829,1.46381,0,0,1.56081,2.09311,1.74339,0
17,13,29,31,9,13,52,6,20,14,15,22,21,11,40.4,132.09,94.86,77.5,0,1.63677,1.69245,1.57475,2.40113,0,0,1.84988,0,1.483,0,0,1.34377,1.71742,0,0,1.42101,0,0,1.34112,1.9882,1.60629,0
21,16,30,9,21,6,56,14,18,18,26,18,24,12,46.25,54.39,66.3,106.64,0,0,1.17611,0,1.12265,0,0,0,0,0,0,0,1.2205,0.918834,0,0,0,0,0,0,0,0.913283,0
18,11,8,32,36,8,18,6,17,7,16,18,20,11,29.6,25.974,3.06,0,1.26115,0,1.23051,1.39946,1.31951,0,0,0,0,0,0,1.2391,1.303,1.14234,0,0,1.32382,0,0,1.30134,0,1.12755,0
21,13,23,22,6,13,52,13,10,5,26,26,24,13,31.2,36.63,15.3,23.56,0,0,0,0,1.13363,0,0,0,0,0,0,0,1.13569,0,0,0,0,0,0,0,0,0,0
23,12,21,25,16,21,33,8,16,10,18,18,26,9,35.8,45.51,71.4,92.38,0,0,0,0,1.01624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17374,0
16,17,10,26,14,21,47,14,16,10,18,18,24,10,35.8,42.18,33.66,92.38,0,0,0,1.20081,1.08054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16017,0
16,19,15,46,10,21,47,14,16,8,15,18,18,10,34.55,22.2,54.06,84.32,0,0,0,2.33543,1.08054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9068,0
21,28,21,25,32,13,23,14,21,10,24,27,24,10,32.75,54.168,77.52,24.18,1.2535,0,1.28437,1.22367,1.42644,0,0,0,1.45215,0,0,1.47207,0,0,0,0,0,0,0,0,0,1.2381,0
14,15,29,32,42,27,63,19,16,14,23,28,22,12,41.35,70.041,63.75,75.02,1.28864,0,1.45656,1.30204,1.52579,0,0,0,1.57401,0,0,1.312,0,0,0,0,0,0,0,0,0,1.34708,0
17,12,24,18,20,23,52,22,15,7,17,32,15,9,32.25,47.73,62.22,53.444,0,0,0,0,1.22501,0,0,0,1.28861,0,0,1.41605,1.31631,0,1.18772,1.19458,0,0,0,0,0,1.45246,0
7,9,14,10,22,29,28,11,19,7,19,19,20,8,24.8,24.42,197.88,139.128,0,0,1.9497,3.16437,5.43425,0,0,0,1.41291,1.55821,0,2.17626,1.35347,2.63399,1.39707,1.73667,1.3894,0,0,0,0,3.49572,1.28758
14,18,37,47,37,17,115,14,26,11,28,29,35,16,41.35,56.61,120.36,89.9,1.82466,2.45125,4.73356,4.04613,3.00824,0,3.23707,0,1.40602,3.59214,0,1.94779,0,1.55643,1.366,1.82285,0,0,2.91451,0,2.116,2.41669,1.23907
14,32,13,47,22,10,47,26,18,12,31,18,24,16,37.2,108.336,120.36,67.332,1.82442,2.45125,4.73356,4.04613,3.00824,0,3.23707,0,1.42582,3.59214,0,1.94779,0,1.52893,2.9758,3.92286,0,0,2.91451,0,1.80577,2.41669,1.23907
15,32,29,44,52,28,33,26,21,12,31,28,28,11,45.85,108.336,70.38,251.844,2.48778,1.86353,2.29416,1.57591,2.36763,0,2.02456,0,1.65182,2.2136,0,3.15596,0,2.14628,2.9758,3.92286,1.35581,0,1.64036,0,2.50396,1.5066,0
22,32,30,79,2,22,40,16,15,7,24,18,22,10,52.05,48.84,42.84,32.736,0,0,2.29007,1.8054,3.16139,0,1.95345,1.59857,1.26466,0,0,1.63952,0,2.35771,1.27712,1.30493,1.5314,0,1.85193,0,2.1962,1.6297,1.21864
18,37,21,28,36,13,33,14,23,8,33,19,35,12,38.55,60.828,61.2,78.74,0,0,0,0,0,0,0,0,0,0,0,0,1.38647,1.37211,0,0,0,0,0,0,0,0,0
22,32,9,31,2,16,54,15,15,5,26,28,27,16,32.7,51.06,39.78,76.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4396,0,1.26515,0
18,32,23,32,25,16,26,13,17,7,26,28,27,14,26.65,39.96,28.56,76.26,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14287,0,0,0,0,0,0,0,0,0
18,14,23,47,52,9,33,10,20,6,27,28,26,11,26.4,43.29,57.12,79.36,1.21579,0,0,0,0,0,0,1.48273,0,0,0,0,0,0,0,1.17381,0,0,0,0,0,1.15775,0
23,7,19,0,0,1,30,1,18,5,22,13,17,12,39.15,39.96,32.64,86.8,0,0,1.69968,0,1.34564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,11,18,43,16,19,18,11,16,5,24,20,19,14,29.15,51.06,42.636,81.22,0,0,1.18576,0,1.05931,0,0,0,0,0,0,0,0,1.22131,0,0,0,0,0,0,0,0,0
11,30,40,43,16,19,104,7,16,5,22,18,19,14,45.1,51.06,53.04,26.66,0,0,0,0,0,0,0,0,1.28453,0,0,0,0,1.22131,0,0,0,0,0,0,0,0,0
14,11,19,45,4,16,30,7,20,6,20,18,27,11,26.05,45.51,56.1,114.7,0,1.71624,1.31411,0,1.10054,0,0,0,1.32364,0,0,0,0,1.34543,0,0,0,0,0,0,0,0,0
17,17,14,26,12,13,33,16,16,3,23,21,26,12,39.3,26.64,55.59,21.452,0,1.22441,1.14338,0,0.97146,0,0,0,0,0,0,0,0,1.1063,0,0,0,0,0,0,0,0,0
17,26,31,32,31,16,56,13,18,7,18,18,23,12,32.55,54.39,42.84,97.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,12,34,35,48,19,54,25,21,5,22,16,21,16,31.75,49.062,26.52,62,0,0,0,0,0,0,0,0,1.28067,0,0,0,1.38228,0,0,0,0,0,0,0,0,0,0
15,12,12,18,23,16,43,10,20,5,21,21,23,12,28.85,41.07,44.88,65.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19257,0
17,11,25,15,16,16,80,17,14,6,27,20,26,12,42.3,44.733,44.88,71.92,0,0,1.26488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,11,8,21,28,19,66,7,18,6,22,20,20,10,41.2,27.75,4.08,137.02,0,0,0,0,0,0,0,0,1.30395,0,0,1.33513,0,0,0,0,0,0,0,0,0,0,0
19,12,25,31,20,15,47,10,15,5,29,21,25,18,34.1,44.4,31.62,94.24,0,0,0,1.28235,0,0,0,0,0,0,0,1.34823,0,0,0,0,1.46584,0,0,0,0,1.30272,0
19,14,25,22,20,15,44,10,15,6,29,21,25,9,34.1,44.178,44.88,89.9,0,0,0,0,1.08471,0,0,0,0,0,0,0,0,0,0,0,1.46584,0,0,0,0,1.30272,0
18,29,8,25,37,26,33,18,17,5,22,23,19,10,30.55,62.16,12.24,109.12,0,0,1.23383,1.1764,1.15553,0,0,0,1.28118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14,17,51,19,26,37,18,17,6,22,17,18,12,26.05,91.02,55.08,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,10,27,32,37,11,28,11,13,6,29,19,26,11,35.15,81.03,38.76,35.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,16,27,42,5,16,18,14,18,7,22,21,19,12,36.5,36.63,38.76,73.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,25,18,17,18,13,28,16,15,7,23,19,21,10,31.2,27.306,64.26,80.6,0,0,1.20257,0,1.12319,0,0,0,0,0,0,0,0,0,1.19651,0,0,0,0,0,0,0,0
18,25,31,46,4,15,163,21,16,7,24,18,22,11,32.9,27.75,71.4,43.4,0,0,0,1.22022,1.138,0,0,0,0,0,0,0,0,0,1.19165,1.1951,0,0,0,0,0,0,0
14,16,12,21,19,31,47,20,15,7,24,24,19,9,32.9,47.064,46.104,27.9,0,0,0,1.39436,0,0,0,0,0,0,0,0,0,0,0,1.1951,0,0,0,0,0,0,0
17,16,19,15,19,15,40,18,16,4,19,15,17,11,29.15,34.41,56.1,106.64,0,0,0,0,0,0,0,0,0,0,0,0,1.35028,0,0,0,0,0,0,0,0,0,0
14,8,17,18,15,15,52,8,11,4,14,18,23,7,33.25,26.64,23.46,54.932,0,0,1.27849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20374,0
14,8,26,18,15,14,43,8,13,8,23,18,17,8,35.6,53.28,38.658,60.14,0,0,1.27849,0,0,0,0,0,0,0,0,0,0,1.23991,0,1.21534,0,0,0,0,0,1.20374,1.2269
20,20,18,37,35,12,47,14,17,11,22,20,25,13,32.45,47.73,86.7,77.5,0,0,1.16439,0,1.13199,1.45056,0,1.26862,0,0,0,0,1.33731,0,0,0,1.34405,0,1.53954,0,0,1.17484,0
12,10,0,37,0,15,0,5,10,4,18,16,18,10,26.75,38.628,19.38,9.3,0,0,1.2383,1.20625,1.04576,1.64621,1.88748,1.41844,0,0,0,1.0359,1.32218,0,1.18762,0,1.35753,0,1.59636,0,0,0,0
15,6,10,2,11,11,11,11,12,6,17,11,21,6,20.9,14.43,41.82,13.64,0,0,1.46496,1.32488,1.11465,1.67145,1.8089,1.5047,0,0,0,1.30817,1.43931,0,1.23749,0,1.47213,0,1.70524,0,0,0,0
23,23,27,40,11,21,42,22,13,7,30,15,26,12,37.65,32.19,25.5,75.02,0,0,0,0,1.16186,0,0,0,0,0,0,0,1.31196,0,0,0,0,0,0,0,0,0,0
13,23,25,35,8,21,82,15,24,6,18,17,23,12,37.65,33.3,25.5,75.02,0,0,0,0,0,0,0,0,0,1.64248,0,0,0,0,0,1.19046,0,0,0,0,0,0,0
12,26,14,27,18,14,28,14,14,5,24,19,19,15,30.6,18.87,102,70.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,29,23,29,12,25,23,8,18,5,19,20,21,11,28.65,44.4,32.64,20.46,0,1.51237,1.10944,0,1.04888,0,0,1.36997,0,0,0,1.28596,1.31499,0,0,0,1.23956,0,0,0,0,0,0
15,17,18,17,0,27,21,7,19,8,22,14,18,12,31.15,35.52,48.96,74.4,0,0,0,1.17712,1.07,0,0,0,0,0,0,0,1.35278,0,0,0,1.39743,0,0,0,0,1.13603,0
20,11,46,35,23,17,88,11,22,12,25,26,28,8,32.35,32.19,67.32,83.08,0,0,0,1.19794,1.15434,0,0,0,0,0,0,0,1.50851,0,0,0,1.51742,0,0,0,0,1.14889,0
10,10,0,3,14,6,2,11,17,9,17,20,21,11,14.5,27.75,48.96,34.72,0,0,1.23164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,26,35,27,30,16,70,13,21,7,19,19,26,11,43,34.41,95.472,37.82,0,0,0,0,1.21377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,26,21,35,37,18,70,12,17,9,23,21,26,13,36.5,41.07,93.84,86.18,0,0,0,0,0.978825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,37,8,30,17,18,42,15,13,9,32,22,24,14,36.55,84.36,35.292,74.4,0,0,0,0,1.15285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,37,15,22,25,32,82,13,13,9,23,12,22,14,30.95,84.36,74.46,103.54,0,0,1.25218,0,1.06291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,14,21,13,25,13,18,13,13,7,17,13,23,10,33.25,45.51,72.42,17.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,25,21,29,58,12,23,12,19,8,22,20,26,12,34.35,43.956,67.32,32.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,18,28,29,38,12,56,12,23,7,24,20,21,11,34.35,21.09,23.46,27.28,0,0,1.29815,0,1.08061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,16,18,36,30,10,59,10,16,5,26,20,18,16,30.7,67.377,56.1,33.48,0,0,0,0,1.0703,0,0,0,0,0,0,1.32541,0,0,0,0,0,0,0,0,0,0,0
18,13,37,12,19,11,34,10,17,8,30,21,25,12,37.2,46.398,68.34,55.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,23,35,37,30,22,40,10,19,5,22,23,22,16,34.65,39.516,62.22,86.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,28,23,23,22,20,37,11,20,9,24,22,21,10,38.45,47.73,64.26,57.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,17,32,37,20,18,85,19,18,4,17,23,25,10,30.45,38.739,54.06,23.56,0,0,1.26743,1.22559,0,0,0,1.82428,0,0,0,0,0,0,0,0,1.35535,0,0,0,0,0,0
14,18,18,21,9,19,35,11,14,5,22,12,18,14,31.4,34.41,24.48,37.2,0,0,0,0,1.29213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,18,12,44,31,12,49,10,21,6,20,12,26,17,28.3,57.276,85.68,42.78,0,0,0,0,1.21952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,18,23,34,22,8,63,10,19,6,25,16,27,13,30.2,28.86,32.538,37.634,0,0,1.19705,0,0.999503,0,0,0,0,0,0,1.26438,0,0,0,0,0,0,0,0,0,0,0
16,4,12,35,7,22,118,13,19,5,25,18,22,13,30.2,27.75,39.78,21.266,0,0,1.2096,1.27658,1.10309,0,0,0,0,0,0,0,1.35253,0,0,0,0,0,0,1.33132,0,1.1261,0
15,31,12,47,14,13,23,5,14,6,22,13,20,14,24.8,16.65,58.344,11.78,0,0,0,0,0,0,0,0,0,0,0,0,1.29414,0,0,0,0,0,0,0,0,0,0
16,20,12,36,13,12,75,13,17,5,26,18,25,12,33.1,27.75,62.22,71.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,25,24,29,29,15,56,10,20,10,26,24,25,10,35,57.72,74.46,93.186,0,0,1.36959,1.88652,1.19321,0,0,0,0,0,0,1.33685,0,1.26135,0,1.29873,0,0,0,0,0,1.67732,0
18,62,32,16,20,32,56,14,26,24,27,32,24,12,37.15,97.236,198.9,480.872,1.3134,2.29691,1.73882,2.24207,2.20385,0,3.03941,1.48473,1.27612,1.4333,0,1.49664,1.3272,2.1509,1.56969,1.7386,1.53509,1.55291,0,0,2.03225,2.5112,1.12391
11,19,69,45,34,10,37,10,15,7,17,23,21,10,29.1,58.83,20.4,61.38,0,0,0,0,0,0,0,0,0,0,0,1.28554,0,0,0,0,0,0,0,0,0,0,0
16,23,13,15,16,19,49,15,15,5,17,18,23,11,36.85,42.18,78.54,51.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14,23,24,34,10,35,13,14,5,22,18,25,11,40.75,82.14,78.54,16.74,0,0,0,0,0,0,0,0,0,0,0,1.38651,0,0,0,0,0,0,0,0,0,0,0
8,11,20,40,34,13,66,13,11,5,22,20,21,10,40.75,82.14,22.44,40.3,0,0,0,0,0,0,0,1.52759,0,0,0,1.38651,0,1.20482,0,0,0,0,0,0,0,0,0
15,17,19,8,29,18,59,11,20,5,21,20,21,14,29.4,63.27,31.62,67.58,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2221,0,0,0,0,0,0,0,0,0
14,12,20,30,42,11,63,13,20,5,21,19,22,14,28,47.73,34.068,67.58,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40357,0,0,0,0,0,0,0,0,0
16,12,17,17,42,11,75,13,18,6,24,21,21,8,36,62.382,103.02,22.94,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40357,0,0,0,0,0,0,0,0,0
16,20,15,42,23,19,75,13,18,7,25,18,28,14,29,32.19,56.1,48.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,20,25,42,31,13,68,18,12,8,25,16,24,12,32.05,49.95,55.08,51.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,8,25,12,12,13,26,18,11,6,15,17,26,9,32.05,48.84,30.6,99.82,0,0,1.29035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,12,27,12,10,70,11,16,4,23,13,18,10,32.25,48.84,40.8,62.62,0,0,1.30688,0,1.05048,0,0,0,0,0,0,1.27939,0,0,0,0,1.35182,0,0,0,0,0,1.25475
18,16,18,32,32,20,21,7,20,6,21,15,21,10,40,56.166,45.9,47.12,0,0,0,1.30517,1.44531,0,0,0,0,0,0,1.27491,1.4362,0,1.24768,0,1.61732,0,0,0,0,1.27073,0
12,15,12,20,37,20,16,7,15,8,19,17,21,8,40,33.3,42.84,70.06,0,0,1.25455,1.23657,1.44531,0,0,0,0,0,0,0,1.35944,0,1.2372,0,1.24396,0,0,0,0,1.30825,0
11,15,12,13,18,19,30,11,15,8,19,17,21,14,30.5,28.86,52.02,70.06,0,0,1.25455,0,1.24196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15548,0
13,19,26,15,18,22,33,16,18,5,27,18,17,10,32.2,37.74,52.02,52.08,0,0,0,0,1.16492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09139,0
11,7,18,15,40,11,49,7,10,3,15,15,20,12,18.95,41.07,25.5,139.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6,21,11,12,6,87,10,14,3,19,13,28,8,25.95,36.63,65.28,139.5,0,0,0,0,1.06962,0,0,0,0,0,0,0,0,1.30592,0,0,0,0,0,0,0,0,0
10,7,24,26,28,15,68,11,10,4,19,10,22,10,25.95,44.4,72.42,81.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39385,0,0,0
19,16,9,29,19,15,54,13,9,4,26,14,21,12,33.6,55.722,44.574,36.58,0,0,0,0,1.06314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39385,0,0,0
14,13,14,21,16,19,63,10,22,6,16,18,29,9,25.4,33.3,97.512,52.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,22,25,12,19,35,47,17,16,4,21,16,21,13,28.45,56.61,47.94,9.92,0,0,1.21432,0,1.1131,0,0,0,0,0,0,0,0,1.2509,0,0,0,0,0,0,0,1.14661,1.2306
13,22,18,26,32,35,14,8,12,3,18,16,20,7,29.35,42.18,47.94,96.72,0,0,1.30061,0,1.1131,0,0,0,0,0,0,1.26864,0,1.29391,0,0,0,0,0,0,0,0,0
16,8,15,15,32,29,68,12,14,5,24,16,19,9,28.4,38.85,47.94,13.02,0,0,1.30061,0,1.4756,0,0,0,0,0,0,1.29918,0,1.29391,0,0,0,0,0,0,0,0,0
11,15,20,51,21,21,37,19,23,7,17,14,26,9,25.25,42.18,49.98,31.62,0,0,1.19437,0,1.50206,0,0,0,0,0,0,1.31989,0,1.21577,0,0,0,0,0,0,0,0,0
